"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"1/15/2026","1/15/2026","1/15/2026","AAPL","Apple Inc. Common Stock","Buy","10","$195.00","($1,950.00)"
"1/25/2026","1/25/2026","1/25/2026","AAPL","Cash Div: R/D 2026-01-20 P/D 2026-01-25 - 10 shares at 0.26","CDIV","","","$2.60"
"2/10/2026","2/10/2026","2/10/2026","AAPL","Apple Inc. Common Stock","Sell","10","$205.00","$2,050.00"
"2/3/2026","2/3/2026","2/3/2026","TSLA","Tesla Inc. Common Stock","Buy","5","$250.00","($1,250.00)"
"3/5/2026","3/5/2026","3/5/2026","TSLA","Tesla Inc. Common Stock","Sell","5","$230.00","$1,150.00"
"3/1/2026","3/1/2026","3/1/2026","GOOGL","Alphabet Inc. Class A Common Stock","Buy","4","$175.00","($700.00)"
"3/12/2026","3/12/2026","3/12/2026","NVDA","NVIDIA Corporation Common Stock","Buy","8","$140.00","($1,120.00)"
"4/9/2026","4/9/2026","4/9/2026","NVDA","NVIDIA Corporation Common Stock","Sell","8","$160.00","$1,280.00"
"4/20/2026","4/20/2026","4/20/2026","MSFT","Microsoft Corporation Common Stock","Buy","6","$420.00","($2,520.00)"
"5/18/2026","5/18/2026","5/18/2026","MSFT","Microsoft Corporation Common Stock","Sell","6","$410.00","$2,460.00"
"5/1/2026","5/1/2026","5/1/2026","AMZN","Amazon.com Inc. Common Stock","Buy","12","$185.00","($2,220.00)"
"6/1/2026","6/1/2026","6/1/2026","AMZN","Amazon.com Inc. Common Stock","Sell","12","$198.00","$2,376.00"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation."
